slug,title,fareharborShortname,showFareharbor,tripadvisorUrl,showTripadvisor,getyourguideUrl,showGetyourguide,viatorUrl,showViator
chinamans-hat-mokolii-kayak-kaneohe,Chinaman's Hat (Mokoli'i) Kayak Experience,,TRUE,,FALSE,,FALSE,,FALSE
kaneohe-bay-coral-reef-kayak,Kaneohe Bay Coral Reef Self-Guided Kayaking Adventure,,TRUE,,FALSE,,FALSE,,FALSE
kaneohe-bay-sandbar-kayak,Kaneohe Bay Sandbar Kayak Experience,,TRUE,,FALSE,,FALSE,,FALSE
sharks-cove-self-guided-snorkel-haleiwa,Sharks Cove Self-Guided Snorkel,,TRUE,,FALSE,,FALSE,,FALSE
kahana-kaaawa-rainforest-river-kayak,Kahana / Kaaawa Rainforest River Kayak,,TRUE,,FALSE,,FALSE,,FALSE
kailua-kayak-rentals-general,Kailua Kayak Rentals,,TRUE,,FALSE,,FALSE,,FALSE
mokulua-islands-twin-islands-kayak-kailua,Mokulua Islands (Twin Islands) Kayak Tour,,TRUE,,FALSE,,FALSE,,FALSE
popoia-island-kailua-bay-kayak-tour,Popoia Island (Flat Island) & Kailua Bay Kayak Tour,,TRUE,,FALSE,,FALSE,,FALSE
kailua-bay-popoia-paddleboard-lesson,Kailua Bay & Popoia Island Paddle Board Lesson,,TRUE,,FALSE,,FALSE,,FALSE
mokulua-islands-kayak-ebike-combo,Guided Mokulua Islands Kayak Tour & E-Bike Adventure,,TRUE,,FALSE,,FALSE,,FALSE
popoia-island-kayak-ebike-combo,Popoia Island Kayak & E-Bike Guided Adventure Tour,,TRUE,,FALSE,,FALSE,,FALSE
pearl-harbor-city-tour-uss-arizona-aloha-hawaii-tours,Pearl Harbor City Tour / USS Arizona Memorial,alohahawaiitours,TRUE,,FALSE,,FALSE,,FALSE
private-oahu-grand-circle-island-tour,Private Oahu Grand Circle Island Tour,alohasunshinetours,TRUE,,FALSE,,FALSE,,FALSE
dolphins-and-you,Dolphins and You,andyoucreations,TRUE,,FALSE,,FALSE,,FALSE
island-and-you,Island and You,andyoucreations,TRUE,,FALSE,,FALSE,,FALSE
blue-planet-adventure-paddle-rentals,Paddle Rentals,blueplanetadventure,TRUE,,FALSE,,FALSE,,FALSE
rage-room-splatter-art-studio-honolulu,Rage Room & Splatter Art Studio,breaknanger,TRUE,,FALSE,,FALSE,,FALSE
captain-max-turtle-canyon-snorkel,Turtle Canyon Snorkel (Semi-Private Boat Tour),captainmaxboattours,TRUE,,FALSE,,FALSE,,FALSE
captain-max-private-waikiki-sunset-cruise,Private Waikiki Sunset Cruise,captainmaxboattours,TRUE,,FALSE,,FALSE,,FALSE
captain-max-private-waikiki-boat-tour,Private Waikiki Boat Tour,captainmaxboattours,TRUE,,FALSE,,FALSE,,FALSE
aloha-scuba-wreck-reef-2-tank,Wreck & Reef - 2 Tank Dive Charter,divealohascuba,TRUE,,FALSE,,FALSE,,FALSE
aloha-scuba-reef-explorer-2-tank,Reef Explorer - 2 Tank Dive Charter,divealohascuba,TRUE,,FALSE,,FALSE,,FALSE
aloha-scuba-divemaster,Divemaster (Professional Course),divealohascuba,TRUE,,FALSE,,FALSE,,FALSE
aloha-scuba-night-dive,Night Dive - Tuesday & Friday,divealohascuba,TRUE,,FALSE,,FALSE,,FALSE
dive-oahu-waikiki-coast-cruise-byob,Waikiki Coast Cruise - BYOB,diveoahu,TRUE,,FALSE,,FALSE,,FALSE
dolphin-excursion-waianae,Dolphin Excursion,dolphinexcursions,TRUE,,FALSE,,FALSE,,FALSE
waikiki-parasail,Parasail,gohawaii-waikikiparasail,TRUE,,FALSE,,FALSE,,FALSE
go-hawaii-watersports-parasailing,Parasailing,gohawaii-watersports,TRUE,,FALSE,,FALSE,,FALSE
go-hawaii-watersports-deep-sea-fishing,Private Charter Deep Sea Fishing Tour,gohawaii-watersports,TRUE,,FALSE,,FALSE,,FALSE
go-hawaii-watersports-waikiki-snorkel-playground,2-Hour Waikiki Snorkel & Ocean Playground Adventure,gohawaii-watersports,TRUE,,FALSE,,FALSE,,FALSE
gone-surfing-hawaii-rentals,Surfboard & Paddleboard Rentals,gonesurfinghawaii,TRUE,,FALSE,,FALSE,,FALSE
go-nuts-hawaii-north-shore-surf-camp,North Shore Surf Camp,gonuts-hawaii,TRUE,,FALSE,,FALSE,,FALSE
ultimate-circle-island-tour-oahu,Oahu Ultimate Circle Island Tour - Visiting 21+ Locations,haleiwaturtletours,TRUE,,FALSE,,FALSE,,FALSE
aquatic-life-divers-explorers-dive,The Explorer's Dive: Advanced Long Range Two Tank Charter,aquaticlifedivers,TRUE,,FALSE,,FALSE,,FALSE
aquatic-life-divers-signature-morning-dive,Signature Morning Dive: Two Tank Morning Charter,aquaticlifedivers,TRUE,,FALSE,,FALSE,,FALSE
big-island-abalone-farm-tours,Farm Tours,bigislandabalone,TRUE,,FALSE,,FALSE,,FALSE
big-island-bees-beekeeping-tour,Beekeeping Tour,bigislandbees,TRUE,,FALSE,,FALSE,,FALSE
body-glove-deluxe-snorkel-dolphin-watch,Deluxe Snorkel & Dolphin Watch,bodyglove,TRUE,,FALSE,,FALSE,,FALSE
body-glove-historical-lunch-cruise,Historical Lunch Cruise,bodyglove,TRUE,,FALSE,,FALSE,,FALSE
body-glove-super-raft-sunset-tour,Super-Raft Sunset Tour,bodyglove,TRUE,,FALSE,,FALSE,,FALSE
botanical-world-zipline,Zip Line at Botanical World Adventures,bwa,TRUE,,FALSE,,FALSE,,FALSE
botanical-world-garden-day-pass,Self-Guided Garden Tour Day Pass,bwa,TRUE,,FALSE,,FALSE,,FALSE
coral-reef-kealakekua-bay-snorkel,Kealakekua Bay / Captain Cook Monument Snorkel,coralreef,TRUE,,FALSE,,FALSE,,FALSE
